Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UXMax,UYMax,UZMax,RXMax,RYMax,RZMax,UXMin,UYMin,UZMin,RXMin,RYMin,RZMin
Story18,D1,Qx,LinRespSpec,Max,,1.5573,0.1262,0.4466,0.03,0.156,0.003,,,,,,
Story18,D1,Qy,LinRespSpec,Max,,0.6659,2.1726,0.5215,0.192,0.056,0.039,,,,,,
Story18,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.9375,0.076,0.2688,0.018,0.094,0.002,,,,,,
Story18,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.378,1.2334,0.296,0.109,0.032,0.022,,,,,,
Story17,D1,Qx,LinRespSpec,Max,,1.1728,0.0917,0.4388,0.03,0.163,0.002,,,,,,
Story17,D1,Qy,LinRespSpec,Max,,0.555,1.6627,0.5113,0.219,0.063,0.033,,,,,,
Story17,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.7061,0.0552,0.2641,0.018,0.098,0.001,,,,,,
Story17,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.315,0.9439,0.2902,0.124,0.036,0.019,,,,,,
Story16,D1,Qx,LinRespSpec,Max,,0.8653,0.073,0.4097,0.028,0.155,0.002,,,,,,
Story16,D1,Qy,LinRespSpec,Max,,0.4655,1.2533,0.4774,0.212,0.066,0.028,,,,,,
Story16,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.5209,0.0439,0.2466,0.017,0.093,0.001,,,,,,
Story16,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.2643,0.7115,0.271,0.121,0.038,0.016,,,,,,
Story15,D1,Qx,LinRespSpec,Max,,0.7101,0.0639,0.364,0.025,0.135,0.002,,,,,,
Story15,D1,Qy,LinRespSpec,Max,,0.4121,1.0401,0.4232,0.189,0.062,0.025,,,,,,
Story15,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.4275,0.0385,0.2191,0.015,0.081,0.001,,,,,,
Story15,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.2339,0.5905,0.2402,0.107,0.035,0.014,,,,,,
Story14,D1,Qx,LinRespSpec,Max,,0.6778,0.0586,0.3197,0.022,0.123,0.002,,,,,,
Story14,D1,Qy,LinRespSpec,Max,,0.3801,0.9964,0.3678,0.173,0.06,0.023,,,,,,
