Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story8,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.000674,0.000657,1.026,39,32,0,25.5
Story8,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000673,0.000656,1.026,43,32,32,25.5
Story8,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.00071,0.000659,1.078,39,32,0,25.5
Story8,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.00067,0.00067,1,23,0,32,25.5
Story8,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000704,0.00067,1.052,43,32,32,25.5
Story8,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000704,0.00067,1.052,23,0,32,25.5
Story8,W,LinStatic,Step By Step,1,Diaph D1 X,3.1E-05,3.1E-05,1.018,39,32,0,25.5
Story8,W,LinStatic,Step By Step,2,Diaph D1 Y,3.1E-05,3.1E-05,1,43,32,32,25.5
Story8,W,LinStatic,Step By Step,3,Diaph D1 X,2.6E-05,2.3E-05,1.128,39,32,0,25.5
Story8,W,LinStatic,Step By Step,4,Diaph D1 X,2.5E-05,2.3E-05,1.092,43,32,32,25.5
Story8,W,LinStatic,Step By Step,5,Diaph D1 Y,2.6E-05,2.3E-05,1.109,43,32,32,25.5
Story8,W,LinStatic,Step By Step,6,Diaph D1 Y,2.6E-05,2.3E-05,1.109,23,0,32,25.5
Story8,W,LinStatic,Step By Step,7,Diaph D1 X,2.3E-05,2.3E-05,1.018,39,32,0,25.5
Story8,W,LinStatic,Step By Step,7,Diaph D1 Y,2.4E-05,2.3E-05,1.018,23,0,32,25.5
Story8,W,LinStatic,Step By Step,8,Diaph D1 X,2.3E-05,2.3E-05,1.018,39,32,0,25.5
Story8,W,LinStatic,Step By Step,8,Diaph D1 Y,2.4E-05,2.3E-05,1.018,43,32,32,25.5
Story8,W,LinStatic,Step By Step,9,Diaph D1 X,2.2E-05,1.7E-05,1.236,39,32,0,25.5
Story8,W,LinStatic,Step By Step,9,Diaph D1 Y,2.2E-05,1.7E-05,1.237,23,0,32,25.5
Story8,W,LinStatic,Step By Step,10,Diaph D1 X,2.1E-05,1.7E-05,1.204,43,32,32,25.5
Story8,W,LinStatic,Step By Step,10,Diaph D1 Y,2.1E-05,1.7E-05,1.2,43,32,32,25.5
Story8,W,LinStatic,Step By Step,11,Diaph D1 X,2.2E-05,1.7E-05,1.236,39,32,0,25.5
Story8,W,LinStatic,Step By Step,11,Diaph D1 Y,2.2E-05,1.7E-05,1.237,43,32,32,25.5
Story8,W,LinStatic,Step By Step,12,Diaph D1 X,2.1E-05,1.7E-05,1.204,43,32,32,25.5
Story8,W,LinStatic,Step By Step,12,Diaph D1 Y,2.1E-05,1.7E-05,1.2,23,0,32,25.5
Story8,Qx,LinRespSpec,Max,,Diaph D1 X,0.000926,0.0009,1.029,43,32,32,25.5
Story8,Qy,LinRespSpec,Max,,Diaph D1 Y,0.001005,0.000977,1.028,43,32,32,25.5
Story8,EU-F,Combination,Max,,Diaph D1 X,0.001413,0.001363,1.037,43,32,32,25.5
Story8,EU-F,Combination,Max,,Diaph D1 Y,0.001551,0.00149,1.041,43,32,32,25.5
Story8,EU-F,Combination,Min,,Diaph D1 X,0.001413,0.001363,1.037,43,32,32,25.5
Story8,EU-F,Combination,Min,,Diaph D1 Y,0.001545,0.001483,1.041,43,32,32,25.5
Story8,ES-F,Combination,Max,,Diaph D1 X,0.000989,0.000954,1.037,43,32,32,25.5
Story8,ES-F,Combination,Max,,Diaph D1 Y,0.001087,0.001043,1.041,42,32,24,25.5
Story8,ES-F,Combination,Min,,Diaph D1 X,0.000989,0.000954,1.037,43,32,32,25.5
Story8,ES-F,Combination,Min,,Diaph D1 Y,0.001082,0.001039,1.042,42,32,24,25.5
Story7,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.000718,0.000688,1.044,39,32,0,22.5
Story7,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000711,0.000685,1.038,43,32,32,22.5
Story7,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000777,0.000691,1.125,39,32,0,22.5
Story7,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.000693,0.000693,1,23,0,32,22.5
Story7,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.00075,0.000693,1.082,43,32,32,22.5
Story7,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.00075,0.000693,1.082,23,0,32,22.5
Story7,W,LinStatic,Step By Step,1,Diaph D1 X,3.4E-05,3.3E-05,1.038,39,32,0,22.5
Story7,W,LinStatic,Step By Step,2,Diaph D1 Y,3.2E-05,3.2E-05,1,43,32,32,22.5
Story7,W,LinStatic,Step By Step,3,Diaph D1 X,3.1E-05,2.5E-05,1.252,39,32,0,22.5
Story7,W,LinStatic,Step By Step,4,Diaph D1 X,2.9E-05,2.4E-05,1.18,43,32,32,22.5
Story7,W,LinStatic,Step By Step,5,Diaph D1 Y,3E-05,2.4E-05,1.217,43,32,32,22.5
Story7,W,LinStatic,Step By Step,6,Diaph D1 Y,3E-05,2.4E-05,1.217,23,0,32,22.5
Story7,W,LinStatic,Step By Step,7,Diaph D1 X,2.5E-05,2.4E-05,1.038,39,32,0,22.5
Story7,W,LinStatic,Step By Step,7,Diaph D1 Y,2.5E-05,2.4E-05,1.039,19,0,0,22.5
Story7,W,LinStatic,Step By Step,8,Diaph D1 X,2.5E-05,2.4E-05,1.038,39,32,0,22.5
