Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Drift/,Label,X,Y,Z
Story18,Ex,LinStatic,Step By Step,1,X,0.002573,1/389,43,32,32,55.5
Story18,Ex,LinStatic,Step By Step,2,X,0.002593,1/386,43,32,32,55.5
Story18,Ex,LinStatic,Step By Step,3,X,0.002565,1/390,39,32,0,55.5
Story18,Ey,LinStatic,Step By Step,1,Y,0.002841,1/352,23,0,32,55.5
Story18,Ey,LinStatic,Step By Step,2,Y,0.002801,1/357,23,0,32,55.5
Story18,Ey,LinStatic,Step By Step,3,Y,0.002881,1/347,23,0,32,55.5
Story18,Qx,LinRespSpec,Max,,X,0.001823,1/549,43,32,32,55.5
Story18,Qy,LinRespSpec,Max,,X,0.000323,1/3098,181,64,32,55.5
Story18,Qy,LinRespSpec,Max,,Y,0.001527,1/655,23,0,32,55.5
Story18,Qx-Servicio (R=6),LinRespSpec,Max,,X,0.001097,1/911,43,32,32,55.5
Story18,Qy-Servicio (R=6),LinRespSpec,Max,,X,0.000183,1/5458,181,64,32,55.5
Story18,Qy-Servicio (R=6),LinRespSpec,Max,,Y,0.000867,1/1153,23,0,32,55.5
Story18,EU-F,Combination,Max,,X,0.00288,1/347,43,32,32,55.5
Story18,EU-F,Combination,Max,,Y,0.002358,1/424,23,0,32,55.5
Story18,EU-F,Combination,Min,,X,0.002872,1/348,43,32,32,55.5
Story18,EU-F,Combination,Min,,Y,0.002366,1/423,23,0,32,55.5
Story18,ES-F,Combination,Max,,X,0.002018,1/496,43,32,32,55.5
Story18,ES-F,Combination,Max,,Y,0.001651,1/606,23,0,32,55.5
Story18,ES-F,Combination,Min,,X,0.002012,1/497,43,32,32,55.5
Story18,ES-F,Combination,Min,,Y,0.001658,1/603,23,0,32,55.5
Story17,Ex,LinStatic,Step By Step,1,X,0.002655,1/377,176,56,32,52.5
Story17,Ex,LinStatic,Step By Step,2,X,0.002682,1/373,176,56,32,52.5
Story17,Ex,LinStatic,Step By Step,3,X,0.002672,1/374,172,56,0,52.5
Story17,Ey,LinStatic,Step By Step,1,Y,0.002854,1/350,179,64,16,52.5
Story17,Ey,LinStatic,Step By Step,2,Y,0.002912,1/343,179,64,16,52.5
Story17,Ey,LinStatic,Step By Step,3,Y,0.0028,1/357,62,48,16,52.5
Story17,Qx,LinRespSpec,Max,,X,0.001904,1/525,176,56,32,52.5
Story17,Qx,LinRespSpec,Max,,Y,0.000269,1/3716,179,64,16,52.5
Story17,Qy,LinRespSpec,Max,,X,0.000397,1/2518,181,64,32,52.5
Story17,Qy,LinRespSpec,Max,,Y,0.001563,1/640,23,0,32,52.5
Story17,Qx-Servicio (R=6),LinRespSpec,Max,,X,0.001146,1/873,176,56,32,52.5
Story17,Qx-Servicio (R=6),LinRespSpec,Max,,Y,0.000162,1/6173,179,64,16,52.5
Story17,Qy-Servicio (R=6),LinRespSpec,Max,,X,0.000225,1/4436,181,64,32,52.5
Story17,Qy-Servicio (R=6),LinRespSpec,Max,,Y,0.000887,1/1127,23,0,32,52.5
Story17,EU-F,Combination,Max,,X,0.003044,1/329,181,64,32,52.5
Story17,EU-F,Combination,Max,,Y,0.002416,1/414,23,0,32,52.5
Story17,EU-F,Combination,Min,,X,0.003029,1/330,176,56,32,52.5
Story17,EU-F,Combination,Min,,Y,0.002425,1/412,23,0,32,52.5
Story17,ES-F,Combination,Max,,X,0.002134,1/469,181,64,32,52.5
Story17,ES-F,Combination,Max,,Y,0.001692,1/591,23,0,32,52.5
Story17,ES-F,Combination,Min,,X,0.002123,1/471,176,56,32,52.5
Story17,ES-F,Combination,Min,,Y,0.001699,1/589,23,0,32,52.5
Story16,Ex,LinStatic,Step By Step,1,X,0.002707,1/369,177,64,0,49.5
Story16,Ex,LinStatic,Step By Step,2,X,0.002731,1/366,181,64,32,49.5
Story16,Ex,LinStatic,Step By Step,3,X,0.002742,1/365,177,64,0,49.5
Story16,Ey,LinStatic,Step By Step,1,Y,0.003422,1/292,181,64,32,49.5
Story16,Ey,LinStatic,Step By Step,2,Y,0.003508,1/285,181,64,32,49.5
Story16,Ey,LinStatic,Step By Step,3,Y,0.003336,1/300,181,64,32,49.5
